ID,QUESTION,ANSWER,Generated Answer,Precision,Recall,F1
42,Explain what is meant by a protein becoming 'denatured'.,"A protein is said to be denatured when the hydrogen bonds, hydrophobic interactions and van der Waals forces that create the tertiary structure of the protein are broken and the shape of the protein is altered.","When a protein becomes denatured, it means that its natural three-dimensional structure has been disrupted or unfolded, causing the protein's polypeptide chain to become random and lose its functional shape. This can occur due to various factors such as heat, pH changes, detergents, or other chemicals that alter the protein's native conformation. As a result, the denatured protein often loses its biological activity and function. Denaturation is typically reversible under mild conditions, but severe denaturation can lead to protein degradation or aggregation.",0.55,0.618,0.582
43,Outline the factors that can cause a protein to become denatured.,A protein is denatured when it is exposed to temperatures above its optimum temperature and sometimes when the protein is exposed to pH levels higher or lower than its optimum pH.,"Protein denaturation occurs due to various factors that disrupt its native conformation and secondary structure. These include high temperatures, exposure to chemicals such as detergents or solvents, changes in pH levels, mechanical stress, and the presence of denaturing agents like urea or guanidine. Additionally, radiation and oxidative stress can also cause protein denaturation by damaging its amino acid sequence. This leads to a loss of function and potentially toxic effects on cells.",0.485,0.59,0.532
44,Explain the difference between the genotype and phenotype of an individual.,A genotype is the combination of alleles that an individual has for the characteristic being investigated. The phenotype of the individual is the trait that a given genotype expresses. The environment also plays a role in the expression of the phenotype.,"The genotype of an individual refers to their complete set of genes, which is the genetic information encoded in their DNA. The phenotype, on the other hand, is the physical expression or manifestation of those genes, including traits such as eye color, hair texture, height, and other characteristics. In essence, the genotype is the genetic blueprint, while the phenotype is the actual physical appearance that results from the interaction of the genotype with environmental factors. This distinction is crucial in understanding how genetics influences an individual's characteristics.",0.578,0.7,0.633
45,Describe an example where an organism's phenotype can be affected by the environment in which it is raised.,"An example answer is—Flower colour in hydrangeas is affected by the pH of the soil,
 which affects the availability of aluminium in the soil to the plant. Therefore, plants with the same genotype can have
 different colour phenotypes.","The phenotype of a plant called Arabidopsis thaliani can be affected by the amount of light it receives. Plants grown in bright light conditions tend to have more leaves and grow taller, while those grown in low-light conditions may have fewer leaves and shorter stems. This difference in growth is an example of how environmental factors can influence an organism's phenotype. The plant's genetic makeup remains unchanged, but its physical characteristics are altered by the environment.",0.561,0.617,0.587
46,What is meant by the term 'monohybrid cross'?,Monohybrid crosses are crosses between two individuals with different alleles at a single genetic locus. These crosses are performed to determine which trait is dominant.,"A monohybrid cross refers to a genetic experiment where two individuals that are heterozygous for a specific trait are crossed to produce offspring. This type of cross involves one gene pair and allows researchers to study the inheritance pattern of a single gene or trait. The resulting offspring can exhibit different phenotypes, such as dominant or recessive traits, depending on their genotype.",0.594,0.73,0.655
47,What is the Law of Independent Assortment and what does it state?,"Mendel’s second law of inheritance, the Law of Independent Assortment, states that the alleles of a gene controlling one trait assort independently of alleles of another gene controlling a different trait.","The Law of Independent Assortment states that genes for different traits are inherited independently of each other. This means that the alleles of one gene do not influence the alleles of another gene during the process of meiosis, resulting in a random combination of alleles from each parent. As a result, offspring can inherit any possible combination of alleles from their parents, increasing genetic variation and diversity.",0.622,0.74,0.676
48,What are the possible outcomes of meiosis in a heterozygote individual with the genotype AaBb? List all the gametes that this individual could produce.,"The possible outcomes of meiosis (gametes) in a heterozygote individual with the genotype AaBb (for unlinked genes, or linked genes after crossing over) are AB, Ab, aB, ab.","In a heterozygote individual with the genotype AaBb, meiosis can result in four possible outcomes for each pair of alleles (A/a and B/b). The possible gametes are: AB, Ab, aB, and ab. This is because during meiosis, the alleles from each pair separate independently, resulting in all possible combinations.",0.659,0.755,0.704
49,List one way in which population genetics is useful for conservation purposes,Population genetics can be used to measure and monitor genetic variation in a population; track invasive species; and discover and define new species.,"Population genetics can be used to identify and prioritize species or populations that are most at risk of extinction due to genetic diversity loss, allowing conservation efforts to focus on the most vulnerable groups. This information can inform decisions about habitat protection, reintroduction programs, and management strategies to maintain healthy and resilient populations. By analyzing genetic data, scientists can also detect signs of inbreeding depression and other genetic issues that may impact a species' ability to adapt to changing environments.",0.535,0.739,0.621
50,List three characteristics of an ideal genetic marker and explain why they are necessary in population genetic analyses.,"The genetic marker must (1) be polymorphic in the population of interest, or it will not contain any useful information; (2) be a neutral marker (i.e. not under selection) as the analytical models usually assume random distribution of alleles; (3) be affordable and relatively easy to work with, as most projects have a limited budget.","An ideal genetic marker should have high polymorphism, which allows for the detection of multiple alleles within a population. It should also be highly heritable, meaning that it is influenced by genetics rather than environmental factors. Additionally, an ideal genetic marker should be easily and accurately scored, allowing for precise measurement and analysis. These characteristics are necessary in population genetic analyses to ensure accurate and reliable conclusions about population structure and dynamics.",0.598,0.556,0.576
51,Define 'genetic testing'.,"Genetic testing is a medical test used to detect specific alleles, mutations, genotypes or karyotypes that are associated with heritable traits, diseases or predispositions to diseases.","Genetic testing is a medical test used to identify genetic variations that can cause or increase the risk of developing certain diseases or conditions. It involves analyzing an individual's DNA to detect specific genetic mutations or changes in their genes. This type of testing can be used for diagnostic, predictive, or carrier testing purposes.",0.671,0.678,0.674
52,What are the three main m ethodologies used in genetic sequencing and profiling?,Molecular genetic testing; cytogenetic testing-karyotyping and molecular cytogenetic testing via fluorescence in situ hybridisation (FISH); biochemical genetic testing.,"The three main methodologies used in genetic sequencing and profiling are Sanger Sequencing, Next-Generation Sequencing (NGS), and Polymerase Chain Reaction (PCR). Sanger Sequencing is a traditional method that involves the use of dideoxynucleotides to terminate DNA synthesis at specific points. NGS, on the other hand, uses high-throughput sequencing technologies such as Illumina and Ion Torrent to sequence millions of DNA fragments in parallel. PCR is a laboratory technique used to amplify specific segments of DNA for further analysis or sequencing.",0.449,0.52,0.482
53,What is an STR? List the steps for determining a DNA profile by STR analysis.,"An STR is a short tandem repeat. They are short repeat sequences of DNA scattered throughout the genome. 
To make a DNA profile: 
• extract DNA from a tissue sample 
• amplify the STRs using PCR (different primers for different STRs) 
• run the PCR products on a gel or capillary electrophoresis 
• compare the bands on a gel or the peaks on the graph.","An STR (Short Tandem Repeat) refers to a type of genetic marker used in DNA profiling.

To determine a DNA profile by STR analysis, follow these steps:

1. Collect and extract DNA from a biological sample such as blood, saliva, or tissue.
2. Amplify the STR regions using PCR (Polymerase Chain Reaction).
3. Separate the amplified STR fragments using capillary electrophoresis or gel electrophoresis to determine their lengths.
4. Compare the resulting STR profiles with known profiles in a database to identify potential matches.",0.683,0.742,0.711
54,What was the original goal of the Human Genome Project?,"The original goal was to determine the complete human genome, the precise order of nucleotides within a DNA
 molecule and the number of genes in one human individual.","The primary objective of the Human Genome Project was to sequence and map the entire human genome within a period of 15 years, with an estimated completion date in 2005. The project aimed to identify all approximately 20,000-25,000 genes that make up the human genome and determine their positions on the chromosomes. This endeavor was expected to lead to significant advances in understanding human biology and disease, ultimately contributing to improved healthcare and treatments.",0.558,0.658,0.604
55,List two reasons that genetic variation is important for the long-term survival of a gene pool.,"Genetic variation means that populations are more able to adapt to changes and challenges in the environment, because natural selection acts upon genetic variation. Genetic variation acts as a buffer against the accumulation of dangerous mutations, as it reduces the chances of inbreeding.","Genetic variation allows a population to adapt to changing environments and increases its chances of survival in the face of disease or environmental stressors. Additionally, genetic variation provides a reservoir of traits that can be selected upon by natural selection, enabling populations to evolve and improve their fitness over time. This diversity also reduces the risk of extinction due to a single catastrophic event affecting all individuals with similar traits.",0.663,0.713,0.687
56,Why are frameshift mutations more significant than substitution point mutations?,A substitution mutation only alters one codon; a frameshift mutation alters every codon after the mutation.,"Frameshift mutations can lead to the creation of a completely new protein sequence or result in a non-functional protein due to the disruption of the reading frame. This is because even a single nucleotide insertion or deletion can cause all subsequent codons to be misread, leading to a significant alteration in the final protein product. In contrast, substitution point mutations typically only replace one amino acid with another, which may have less severe consequences for the overall function of the protein. As a result, frameshift mutations are often more significant than substitution point mutations.",0.511,0.703,0.592
57,2 Explain why silent mutations are called 'silent'.,"Silent mutations are silent because they do not change the amino acid that they code for, and as such they have no functional change in terms of protein products.","Silent mutations occur when a change in DNA sequence does not result in a change to the amino acid sequence of a protein. This is because the genetic code is degenerate, meaning that more than one codon can code for the same amino acid. As a result, some mutations may not affect the final protein product and are therefore considered ""silent"".",0.616,0.703,0.657
58,state which chromosome is affected and whether the chromosome is in excess or missing. a Down syndrome,chromosome 21; one additional copy (trisomy 21),"The chromosome affected in Down syndrome is Chromosome 21. It is present in excess, typically with an extra copy of this chromosome (trisomy 21). This results in an individual having 47 chromosomes instead of the usual 46. The extra genetic material from Chromosome 21 leads to the characteristic features and developmental delays associated with Down syndrome.",0.461,0.75,0.571
59,What is a neoplasm?,A neoplasm is a mass of tissue formed by uncontrolled cell division.,"A neoplasm is an abnormal growth of cells that can be benign or malignant. Neoplasms, also known as tumors, occur when cells divide and grow uncontrollably due to genetic mutations or other factors. This uncontrolled growth can lead to the formation of a mass or lump in various parts of the body.",0.594,0.797,0.68
60,Give two examples of each of the following: a sources of chemical mutagens b physical mutagens c biological mutagen,"a Sources of chemical mutagens—acceptable answers include mustard gas, ethidium bromide, chemicals contained in tobacco, outdoor air pollution, coffee, nuts, tomatoes, pineapples, herbs, spices, mushrooms, cadmium and arsenic. b Physical mutagens—acceptable answers include particle radiation: nuclear fission, nuclear fusion; high energy electromagnetic radiation (EMR): X-rays, gamma rays and high energy ultraviolet light. c Biological mutagens—acceptable answers include oncoviruses (direct or indirect) such as HTLV-1 and human papillomavirus (HPV) and transposable elements (TEs, transposons).","Here are the examples:

a. Sources of chemical mutagens:
1. Benzene
2. Ethyl methanesulfonate (EMS)

b. Physical mutagens:
1. Ultraviolet (UV) light
2. Ionizing radiation (e.g., X-rays, gamma rays)

c. Biological mutagen:
1. Viruses (e.g., HIV)
2. Bacteria (e.g., E. coli with a mutator gene)",0.608,0.584,0.595
61,Explain how proto-oncogenes and tumour-suppressor genes can cause cancer.,"Proto-oncogenes stimulate cell growth. When these genes are unregulated, cell growth increases, causing tumours/ cancers/neoplasms. Tumour-suppressor genes inhibit cell division. If these genes are damaged, cell division can go unregulated, causing tumours/cancers/neoplasms","Proto-oncogenes are normal genes that can become oncogenic (cancer-causing) when mutated or overexpressed. When these genes are activated, they promote cell growth and division, leading to uncontrolled cell proliferation and potentially resulting in cancer. On the other hand, tumour-suppressor genes normally prevent cells from growing uncontrollably by repairing DNA damage and initiating apoptosis (cell death). Mutations in these genes can lead to a loss of function, allowing damaged cells to survive and proliferate, contributing to cancer development.",0.616,0.691,0.651
62,Is the following statement true or false? Mutations to non-coding regions of ONA will not have an effect on the organism. Explain your answer.,False. These mutations interfere with the transcription process; a gene could become partially or entirely non-functional.,"The statement is FALSE. Non-coding regions of DNA, including those within genes (introns) and outside of genes (intergenic regions), can still influence gene expression and regulation through various mechanisms such as enhancers, silencers, and other regulatory elements. Mutations to these non-coding regions can disrupt normal gene function and have significant effects on the organism.",0.477,0.605,0.533
63,Describe the process by which intrans are removed from the pre-mRNA molecule during transcription.,"During the transcription process, the introns (which do not code for proteins) must be removed to create functional mRNA. The removal is known as splicing and requires a protein complex known as a spliceosome. The spliceosome is made up of small nuclear ribonucleoprotein particles or snRNPs. This spliceosome binds to three recognised sequences along the intron: one at the 5′ end (known as the 5′ junction) one at the 3′ end (the 3′ junction) and one near the 3′ end (the branch point) that allows the intron to fold into a loop before it is removed. After the intron is removed, the exons can join together to create an mRNA molecule with a neat, continuous coding sequence","Introns are removed from the pre-mRNA molecule through a process called RNA splicing. During transcription, the pre-mRNA molecule contains both introns and exons. The spliceosome, a complex of small nuclear RNAs (snRNAs) and proteins, recognizes the intron-exon boundaries and cleaves the pre-mRNA at these sites, removing the introns and joining the exons together to form a mature mRNA molecule. This process is essential for producing functional mRNAs that can be translated into proteins.",0.692,0.63,0.66
64,What is a deep intronic mutation?,A deep intronic mutation is a mutation that is located more than 100 nucleotides from the 5′ or 3′ junctions between the intron and the exon.,"A deep intronic mutation is a type of genetic mutation that occurs within the non-coding regions of a gene, specifically in the deep introns. Deep introns are the largest and most conserved parts of a gene's intron structure, located farthest from the protein-coding exons. These mutations can disrupt the normal splicing process, leading to aberrant RNA transcripts that may be detrimental to cellular function.",0.576,0.664,0.617
65,What is the difference between a somatic cell and a germ cell? Give an example of each.,"Somatic cells are all the cells in the body of an organism, apart from the gametes (egg and sperm cells). Examples of somatic cells include skin cells, muscle cells and nerve cells","Somatic cells are non-reproductive cells that make up the majority of the body's tissues and organs, such as skin, muscle, and blood cells. Germ cells, on the other hand, are reproductive cells that give rise to gametes (sperm or egg cells). An example of a somatic cell is a red blood cell, which carries oxygen throughout the body. An example of a germ cell is an oocyte (egg cell), which develops into a fertilized egg during reproduction.",0.618,0.771,0.686
66,Explain how an error in meiosis can lead to Down syndrome.,"An error in meiosis is caused by non-disjunction of chromosomes/chromatids, where chromosomes/chromatids do not separate. Non-disjunction can occur between homologous chromosomes during anaphase I or between chromatids during anaphase II. Errors in meiosis occur during gamete (sperm or egg) formation. Down syndrome is due to an extra chromosome 21 where a gamete receives two copies of chromosome 21. As a result the zygote (offspring) has three copies of chromosome 21 (trisomy 21) instead of two and a total of 47 chromosomes instead of 46.","During meiosis, a process that occurs in reproductive cells, errors can occur when chromosomes don't separate properly. This can result in an extra copy of chromosome 21, which is the cause of Down syndrome. The extra genetic material disrupts normal cell function and development, leading to the characteristic features of Down syndrome. This error is often due to a non-disjunction event during meiosis, where the homologous chromosomes fail to separate correctly.",0.665,0.591,0.626
67,Why is polyploidy more common in plants than animals?,"Polyploidy is more common in plants than animals because many plants can reproduce by asexual reproduction. For example, a triploid plant (3n) is typically sterile or has low fertility because of problems with chromosome pairing during meiosis and gamete formation. But it could survive by vegetative reproduction. Fewer complex animals can reproduce asexually, so polyploidy that results in sterility is less common.","Polyploidy is more common in plants than animals because it provides a mechanism for rapid evolution and adaptation in plant species. In plants, polyploidy can occur through the fusion of two or more complete sets of chromosomes, which can lead to increased genetic diversity and flexibility. This allows plants to better respond to changing environmental conditions and compete with other organisms for resources. As a result, polyploidy has been observed in approximately 36% of flowering plant species.",0.651,0.619,0.635
68,Define the term 'biotechnology'.,"Biotechnology is an interdisciplinary technology, which uses biological processes and organisms to create new products and develop new technologies.","Biotechnology is the use of biological systems, living organisms, or derivatives thereof, to develop new products, technologies, and medical treatments. It involves the application of scientific principles to manipulate and engineer biological processes for practical purposes. This field combines biology, chemistry, and engineering disciplines to create innovative solutions in areas such as medicine, agriculture, and environmental science. Biotechnology has led to numerous breakthroughs in disease diagnosis, treatment, and prevention.",0.584,0.78,0.668
69,Define the term 'selective breeding' and provide an example of its application in ancient times.,"Selective breeding is a process where the animals or plants that express desired characteristics are bred together to produce offspring that will also show these characteristics. Examples will vary but may include horses, which have been bred for different uses such as ploughing, racing and dressage.","Selective breeding is a process where animals or plants are bred to emphasize specific desirable traits, such as size, color, or productivity. This is achieved by carefully selecting individuals with the desired characteristics and mating them to produce offspring that inherit those traits. In ancient times, selective breeding was practiced in ancient Egypt around 2500 BC, where they selectively bred cats for their distinctive coat patterns and colors, resulting in a wide range of domesticated cat breeds.",0.63,0.675,0.652
70,Identify the significant scientific event that marked the commencement of modern biotechnology.,The discovery of DNA.,"The discovery of DNA's double helix structure by James Watson and Francis Crick in 1953 is considered a significant scientific event that marked the commencement of modern biotechnology. This breakthrough led to a deeper understanding of genetic material and paved the way for advances in genetic engineering, gene editing, and other biotechnological fields. The discovery also laid the foundation for the development of recombinant DNA technology, which has had a profound impact on various industries, including medicine, agriculture, and pharmaceuticals. This event is widely regarded as a turning point in the history of biotechnology.",0.389,0.65,0.487
71,Describe the positive social impacts of the GM crop Golden Rice.,"Answers may vary but could include: improved health and nutrition to some of the poorest communities, reduced vitamin A deficiency in some of the poorest communities, the success of Golden Rice has promoted the development of further GM crops.","Golden Rice is a genetically modified crop that produces beta-carotene, a precursor to vitamin A. This innovation has the potential to address vitamin A deficiency in developing countries, particularly among children and women, reducing the risk of night blindness, weakened immune systems, and even death. By providing a natural source of vitamin A, Golden Rice can improve overall health, boost cognitive function, and support economic development through increased crop yields and food security. This can lead to improved educational outcomes and reduced poverty rates in affected communities.",0.55,0.582,0.566
72,Explain why a religion or culture may oppose the use of transgenic animals.,"Some religions restrict certain foods. While a transgenic animal may appear to be of one species, it may contain some genetic elements of species, which members of different religious groups choose not to eat. Some cultures may also have ethical reasons for opposing the use of transgenic animals.","Some religions and cultures may view the creation of transgenic animals as tampering with nature's design, which can be seen as a form of hubris or disrespect for the natural order. This perspective may lead to opposition based on spiritual or philosophical grounds. Additionally, concerns about the potential unintended consequences of genetic modification on ecosystems and human health may also contribute to resistance against transgenic animals. These views often prioritize traditional values over scientific advancements.",0.557,0.644,0.597
73,Describe how genetic variation can benefit agricultural biotechnology.,"Genetic variation improves the evolutionary potential of populations, species, cultivars and breeds of organisms. This improves their long-term stability and the potential to develop new plant cultivars and animal breeds.","Genetic variation can benefit agricultural biotechnology by providing a diverse range of traits and characteristics that can be used to improve crop yields, disease resistance, and nutritional content. This variation can be exploited through techniques such as marker-assisted selection and gene editing, allowing scientists to identify and introduce desirable genes into crops. By leveraging genetic diversity, researchers can develop more resilient and productive agricultural products, ultimately contributing to global food security. This approach also enables the creation of novel crop varieties with improved traits.",0.553,0.613,0.582
74,Explain how the increased use of a species for biotechnology could cause biodiversity loss.,"If a species is increasingly used for biotechnology, its value rises. This could lead to overexploitation and endangerment of the species.","The increased use of a species for biotechnology can lead to over-harvesting and exploitation, depleting wild populations and potentially driving them towards extinction. This can disrupt ecosystems and have cascading effects on other species that depend on the affected species for food, shelter, or other resources. Furthermore, the focus on a single species for biotechnology applications can divert attention and resources away from conservation efforts for other species, exacerbating biodiversity loss. As a result, the long-term sustainability of biotechnology applications may be compromised by the very species they rely on.",0.555,0.687,0.614
75,Differentiate between in situ and ex situ conservation methods.,"In situ practices maintain the organism in its natural environment, whereas ex situ methods conserve organisms outside of their natural environment (e.g. in zoos).","In situ conservation involves protecting and preserving species or ecosystems within their natural habitats, minimizing human intervention. Ex situ conservation, on the other hand, involves removing species or genetic material from their natural habitat for protection and breeding in controlled environments such as zoos, botanical gardens, or seed banks. This allows for more direct management and control over the conserved resources. Ex situ methods are often used to supplement in situ efforts.",0.549,0.701,0.616
76,Define the term 'artificial insemination',Artificial insemination is a reproductive technology that involves the deliberate introduction of male sperm into the female reproductive tract by a method other than sexual intercourse.,"Artificial insemination is a reproductive technology where sperm is collected from a male and inserted into a female's reproductive tract using a specialized instrument, rather than through natural mating. This method allows for controlled breeding and can be used in various contexts, including animal husbandry and human fertility treatments. The process involves collecting and storing the sperm, then depositing it into the female's vagina or uterus to facilitate fertilization.",0.617,0.79,0.693
77,What advantages does artificial insemination bring to agriculture?,"Answers may vary but could include: • multiple females can be impregnated from one sample • females in different geographic locations to the male can be impregnated • farmers don’t have to keep male animals on their property • avoids behavioural challenges associated with mating animals • reproductive health of population protected through screening of semen samples • requires no animal-to-animal contact, avoiding the spread of disease.","Artificial insemination (AI) brings several advantages to agriculture, including increased genetic diversity, improved fertility rates, and reduced labor costs associated with natural breeding. AI also allows for the selection of high-quality sires and control over breeding programs, leading to enhanced livestock productivity and quality. Additionally, AI reduces the risk of disease transmission and minimizes the need for repeated breeding attempts, resulting in more efficient and effective farming practices. This leads to increased crop yields and improved overall farm efficiency.",0.501,0.474,0.487
78,How does artificial insemination differ from in vitro fertilisation (IVF)?,Artificial insemination involves the delivery of semen directly into the female reproductive system. Whereas IVF removes the egg from the female and fertilises it with the sperm in a laboratory setting prior to returning the fertilised egg back into the female uterus.,"Artificial insemination involves the insertion of a sperm sample into a female's reproductive tract, with the goal of achieving fertilization naturally. In contrast, IVF requires the retrieval of eggs from the ovaries and their fertilization outside the body using a sperm sample, followed by the transfer of the resulting embryo to the uterus. This process bypasses natural fertilization altogether. As such, IVF is generally considered more invasive than artificial insemination.",0.666,0.732,0.697
79,What is artificial twinning? How does it differ from the birth of natural identical twins?,"Artificial twinning splits an embryo in two very early in the development process. Both halves of the embryo continue to divide leading to two separate individuals with identical genetic make-up. Artificial embryo twinning differs from natural identical twin development as it is carried out in a laboratory petri dish, with the early embryo artificially separated into individual cells and allowed to continue dividing. The embryos are then transferred into a surrogate mother.","Artificial twinning, also known as reproductive cloning, is a process where an embryo is created in a laboratory and implanted into a woman's uterus to carry a pregnancy. This differs significantly from the birth of natural identical twins, which occurs when a single fertilized egg splits in two and develops into two separate embryos, each with its own unique DNA. Artificial twinning involves creating a genetically identical copy of an individual, whereas natural identical twins share the same genetic material but have some minor differences due to environmental influences during fetal development. This process is still considered highly experimental and raises complex ethical concerns.",0.609,0.643,0.626
80,Explain the process of somatic cell nuclear transfer.,"Somatic cell nuclear transfer involves the removal of chromosomes from an egg cell and replaces them with the nucleus of a somatic cell taken from the organism being cloned. The egg cell is then induced to divide. Once the embryo has developed, it is transferred to the uterus of a surrogate female organism. The individual that is born following gestation will be an identical genetic copy of the animal from which the original somatic cell was taken.","Somatic cell nuclear transfer (SCNT) is a laboratory technique used to create an embryo by transferring the nucleus from an adult cell into an egg cell that has had its own nucleus removed. The adult cell's DNA is then reprogrammed to resemble that of an embryonic cell, allowing it to develop into a blastocyst. This process involves several steps, including enucleation of the egg, nuclear extraction from the adult cell, and fusion of the two cells using an electrical pulse or other method. The resulting embryo can be used for research or potentially for reproductive purposes.",0.612,0.665,0.637
81,Describe the term 'gene therapy'.,Gene therapy refers to the insertion of a gene into an individual’s cells to correct or replace defective gene function that leads to disease.,"Gene therapy is a medical treatment that uses genes to prevent or treat diseases. It involves introducing healthy copies of a gene into cells to replace faulty or missing ones, thereby correcting genetic defects and restoring normal cellular function. This approach can be used to treat various conditions, including inherited disorders, cancer, and viral infections. Gene therapy aims to provide a long-term cure by modifying the genes that cause disease.",0.61,0.738,0.668
82,What types of human proteins are commonly produced by recombinant DNA technology?,"Human proteins commonly produced by recombinant DNA technology are hormones, enzymes, vaccines and cytokines.","Human proteins commonly produced by recombinant DNA technology include insulin, growth hormone, and interferons. Additionally, enzymes such as lyase and proteases like thrombin are also produced through this method. Other examples include erythropoietin, which stimulates red blood cell production, and tumor necrosis factor-alpha, a cytokine involved in immune responses. These proteins have various therapeutic applications.",0.577,0.855,0.689
83,What is a plasmid? Describe the role played by plasmids in gene cloning.,"A plasmid is a circular molecule of bacterial DNA. Plasmids are useful in gene cloning. They replicate frequently within the bacterial cell. When a foreign gene such as the human insulin gene is inserted into bacterial plasmids and the bacteria are cultured, large amounts of the protein (insulin) can be produced by the bacteria.","A plasmid is a small, self-replicating circular DNA molecule that can be found in bacteria and some other organisms. In gene cloning, plasmids serve as vectors to carry and replicate foreign DNA fragments, allowing researchers to manipulate and study specific genes or genetic sequences. Plasmids are often used to introduce new genes into host cells, enabling the expression of desired proteins or traits. This process is a crucial step in molecular biology research and biotechnology applications.",0.642,0.69,0.665
84,Describe a genetically modified organism and compare it to a transgenic organism.,"A genetically modified organism (GMO) is an organism that has an alteration to one or more genes due to gene transfer, mutagenesis or gene editing. Transgenic organisms are a subset of GMOs; they have a gene from a different source inserted into their genome (e.g. a plant with a bacterial insecticide gene, a mouse with a human antibody gene, or a goat with a spider silk protein gene).","A genetically modified organism (GMO) is an organism whose genetic material has been altered using genetic engineering techniques. This can involve the introduction of genes from one species into another, or the modification of existing genes within an organism. A transgenic organism, on the other hand, refers specifically to an organism that has been engineered to express a gene from another species. In essence, all transgenic organisms are GMOs, but not all GMOs are necessarily transgenic.",0.663,0.621,0.641
85,Identify two advantages of artificial insemination for human fertility treatment,Artificial insemination is a relatively inexpensive and non-invasive procedure.,"Artificial insemination (AI) offers several benefits in human fertility treatment. Two significant advantages include increased sperm count and motility, allowing for a higher chance of successful fertilization. Additionally, AI reduces the risk of transmitting infectious diseases from one partner to another during natural conception. This method also provides an opportunity for couples to use donor sperm if they have difficulty conceiving due to male factor infertility.",0.461,0.629,0.532
86,Define the term 'xenotransplantation'.,"Xenotransplantation involves the transplantation of cells, tissues or organs from a donor species to a different species (e.g. from a non-human donor species to a human).","Xenotransplantation refers to the transplantation of living cells, tissues, or organs from one species into another species. This can include transplanting organs such as kidneys, hearts, and livers from animals into humans. The goal is to provide a source of compatible donor organs for patients in need of transplants, particularly those with rare or hard-to-match human donors.",0.66,0.781,0.715
87,Provide an example of a therapeutic application of recombinant DNA technology in medicine.,Answers may vary but could include: • epidermal growth factor used in the treatment of burns to improve the survival of skin grafts • interleukin-2 used in cancer treatment • antibodies for immunotherapy • vaccines against a number of viruses.,"One notable example is the production of human insulin using recombinant DNA technology. This involves inserting the gene that codes for human insulin into bacteria such as E. coli, which then produce the protein. The resulting insulin is identical to natural human insulin and can be used to treat diabetes. This application has revolutionized the treatment of diabetes by providing a more effective and safer alternative to animal-derived insulins.",0.454,0.467,0.46
88,Outline the chain of infection.,infectious agent → reservoir → portal of exit → mode of transmission → portal of entry → susceptible host,"The chain of infection is a series of steps that must be present for an infectious disease to occur. It consists of six links: a susceptible host, a pathogen (such as bacteria or virus), a portal of entry (where the pathogen enters the body), a vehicle (which carries the pathogen), a reservoir (where the pathogen is stored), and a mode of transmission (how the pathogen is spread).",0.438,0.635,0.519
89,Name three portals of exit in human hosts,"Respiratory tract, gastrointestinal tract, genitourinary tract or skin","The three main portals of exit in human hosts are the skin, lungs, and gastrointestinal tract. These organs allow for the elimination of waste products and foreign substances from the body. The skin is responsible for sweating and shedding dead cells, while the lungs expel carbon dioxide through exhalation. The gastrointestinal tract eliminates solid waste through defecation.",0.412,0.609,0.491
90,Distinguish between an epidemic and a pandemic.,"An epidemic is the sudden increase in the number of cases of a disease above what is normally expected in a population of an area. A pandemic is an epidemic that has spread over several countries or continents, usually affecting a large number of people.","An epidemic refers to a sudden increase in the number of cases of a disease within a specific geographic area, such as a city or region. A pandemic, on the other hand, is a widespread outbreak of a disease that affects multiple countries and often involves international travel and global spread. In essence, an epidemic is contained within a smaller area, while a pandemic has a much broader reach. This distinction highlights the severity and potential impact of a disease outbreak.",0.671,0.767,0.716
91,Compare germ theory to the theory of spontaneous generation.,Germ theory replaced spontaneous generation as the explanation for the occurrence and transmission of disease. Spontaneous generation states that life can arise from non-living matter while germ theory states that life comes from existing living matter.,"Germ theory proposes that microorganisms cause disease, whereas the theory of spontaneous generation suggests that living organisms can arise from non-living matter. These two theories are fundamentally opposed, with germ theory being widely accepted and spontaneous generation being disproven through scientific experiments. The discovery of microorganisms by Antonie van Leeuwenhoek in 1676 provided key evidence for germ theory, while Louis Pasteur's swan-neck flask experiment in 1859 discredited the idea of spontaneous generation. This led to a significant shift in understanding disease causation and prevention.",0.537,0.76,0.629
92,What are Koch's four postulates?,"1 The microorganism must be present in the tissues of the infected organism and not in a healthy organism. 2 The microorganism must be able to be cultivated in isolation from the infected organism. 3 When an uninfected organism is then inoculated with the culture, it should develop symptoms of the disease. 4 Samples from the second infected organism should be able to be isolated and found to be the same as the microorganism from the first infected organism.","Koch's four postulates are a set of criteria used to establish a causal relationship between a microorganism and a disease. They were first proposed by Robert Koch in 1884 and are still widely used today. The postulates state that for a microorganism to be considered the cause of a disease, it must: (1) be found in all organisms suffering from the disease but not in healthy ones; (2) be isolated from the diseased organism and grown in a pure culture; (3) when this cultured microbe is returned to a healthy organism, it must cause the same disease; and (4) the microorganism must be re-isolated from the inoculated, diseased experimental host and identified as being identical to the original specific causative agent.",0.587,0.71,0.643
93,Explain one limitation of Koch's postulates.,answers should include either: asymptomatic carriers do not meet postulate 1; pathogens such as viruses that cannot be cultured and so do not meet postulates 2 and 3.,"Koch's postulates have been widely used to establish a causal relationship between a microorganism and a disease. However, one limitation is that they are not applicable in cases where the pathogen is an obligate intracellular parasite or a virus, as these organisms cannot be grown on artificial media, making it difficult to fulfill the first postulate. This limitation has been particularly relevant in the study of viral diseases.",0.46,0.521,0.489
