ID,QUESTION,ANSWER,Generated Answer,Precision,Recall,F1
39,"Proteins are key components of cells. Outline, with
 examples, at least five different roles carried out by
 proteins.","Proteins have various functions in cells/organisms. They act as enzymes to catalyse all biochemical reactions, form structural components of cells and organs, are involved in movement (e.g. as contractile fibres in cells), are embedded in cell and organelle membranes as well as being involved in the transport of materials across membranes. They are also involved in the transport of substances such as oxygen in red blood cells by bonding to haemoglobin protein, for signal transduction, cell recognition, communication (e.g. as hormones like oestrogen) or antibodies involved in immune defence.","Proteins perform various functions within cells, including catalyzing metabolic reactions, replicating DNA, responding to stimuli, and transporting molecules. Five specific examples of protein functions include:

* Enzymes: Facilitate chemical reactions in the cell by lowering the energy barrier for a reaction.
* Structural proteins: Provide mechanical support and shape to cells, tissues, and organs.
* Transport proteins: Help move molecules across cell membranes or within the cell.
* Regulatory proteins: Control gene expression, cell growth, and differentiation.
* Motor proteins: Generate force and motion in various cellular processes.

These examples illustrate the diverse roles that proteins play in maintaining cellular homeostasis and responding to environmental stimuli.",0.61,0.597,0.604
40,Distinguish between the proteome and proteomics.,"A proteome is the complete set of proteins in an individual organism. Proteomics is the scientific study of the proteins, including the use of technologies that assist in studying and understanding proteins.","The main difference between considering all proteins expressed by an organism's genome (the proteome) versus studying the structure, function, and dynamics of those proteins at a systems level through various technologies and analytical approaches (proteomics) is that proteomics focuses on understanding the complex interactions and relationships among proteins in a system, whereas the proteome simply lists the proteins present. Proteomics uses various technologies such as mass spectrometry and gel electrophoresis to analyze protein structure, function, and dynamics, providing a more comprehensive understanding of cellular processes.",0.572,0.704,0.631
41,Compare fibrous and globular proteins,"Fibrous proteins are elongated with little or no tertiary folding, usually insoluble and have have structural roles like keratin in fingernails. Whilst globular proteins are compactly folded and coiled into spherical tertiary and quaternary structures, usually soluble such as enzymes and hormones are globular proteins.","The key differences between fibrous proteins and globular proteins lie in their secondary, tertiary, and quaternary structures. Fibrous proteins, which provide structural support or have enzymatic functions, typically form long, thin chains of amino acids that provide strength and rigidity to tissues such as skin, bones, and muscles. In contrast, globular proteins, which perform catalytic or regulatory roles, adopt compact, spherical shapes with a well-defined tertiary structure that allows them to interact with specific molecules. Additionally, fibrous proteins often have a higher degree of alpha helix and beta sheet formation compared to globular proteins, which tend to have more random coil and loop structures.",0.6,0.66,0.628
42,Explain what is meant by a protein becoming 'denatured'.,"A protein is said to be denatured when the hydrogen bonds, hydrophobic interactions and van der Waals forces that create the tertiary structure of the protein are broken and the shape of the protein is altered.","When a protein, which is typically structured and folded in a specific way, undergoes a conformational change to lose its native shape and function, often as a result of exposure to heat, chemicals, or physical forces, resulting in an unfolded and potentially inactive state, this process is known as denaturation.",0.518,0.573,0.544
43,Outline the factors that can cause a protein to become denatured.,A protein is denatured when it is exposed to temperatures above its optimum temperature and sometimes when the protein is exposed to pH levels higher or lower than its optimum pH.,"The unfolding or loss of native structure of a protein, leading to its denaturation, can be caused by several factors. These include exposure to high temperatures, extreme pH levels, the presence of certain chemicals such as detergents or urea, and mechanical stress. Additionally, proteins can also undergo denaturation due to changes in their environment, such as the concentration of salts or sugars.",0.523,0.624,0.569
44,Explain the difference between the genotype and phenotype of an individual.,A genotype is the combination of alleles that an individual has for the characteristic being investigated. The phenotype of the individual is the trait that a given genotype expresses. The environment also plays a role in the expression of the phenotype.,"The primary distinctions between an organism's genetic makeup (genotype) and its observable characteristics (phenotype) are that genotype refers to the individual's specific set of genes, including any mutations or variations, while phenotype is the physical expression of those genes. The genotype encompasses all the genes in an organism's DNA, whereas the phenotype is the actual manifestation of those genes as traits such as height, eye color, and other measurable characteristics.",0.571,0.659,0.612
45,Describe an example where an organism's phenotype can be affected by the environment in which it is raised.,"An example answer is—Flower colour in hydrangeas is affected by the pH of the soil,
 which affects the availability of aluminium in the soil to the plant. Therefore, plants with the same genotype can have
 different colour phenotypes.","Environmental factors such as temperature, diet, or light exposure can influence an organism's physical characteristics, like body size or coloration. For example, when organisms are raised in different conditions, they may exhibit variations in their morphology, physiology, and behavior due to the interaction of genetic and environmental factors. This is evident in the concept of phenotypic expression, where genes and environment work together to determine an organism's physical appearance, structure, and behavior.",0.52,0.567,0.543
46,What is meant by the term 'monohybrid cross'?,Monohybrid crosses are crosses between two individuals with different alleles at a single genetic locus. These crosses are performed to determine which trait is dominant.,"The term ""monohybrid cross"" refers specifically to a genetic cross between two individuals that are heterozygous for one particular gene or trait. This type of cross allows researchers to study the inheritance of a single gene and its effect on a specific phenotype. In contrast, other types of genetic crosses, such as dihybrid crosses, involve the interaction of multiple genes and their effects on different traits.",0.59,0.73,0.652
47,What is the Law of Independent Assortment and what does it state?,"Mendel’s second law of inheritance, the Law of Independent Assortment, states that the alleles of a gene controlling one trait assort independently of alleles of another gene controlling a different trait.","The Law of Independent Assortment states that during meiosis, alleles for different traits are sorted into gametes independently of one another. This means that the combination of alleles an individual receives from their parents is random and not influenced by the presence or absence of specific alleles for other traits. During metaphase I of meiosis, homologous chromosomes pair up in tetrads, and each pair lines up independently of the others, resulting in gametes with unique combinations of maternal and paternal chromosomes. This process ensures that genetic variation is introduced into the population through recombination during reproduction.",0.517,0.666,0.582
48,What are the possible outcomes of meiosis in a heterozygote individual with the genotype AaBb? List all the gametes that this individual could produce.,"The possible outcomes of meiosis (gametes) in a heterozygote individual with the genotype AaBb (for unlinked genes, or linked genes after crossing over) are AB, Ab, aB, ab.","The possible outcomes of meiosis in a heterozygote individual with the genotype AaBb are:

* Gametes: AB, Ab, aB, ab

These gametes result from the combination of alleles at each locus. The 'A' and 'a' represent different forms of the gene at one locus, while the 'B' and 'b' represent different forms at another locus.",0.63,0.756,0.687
49,List one way in which population genetics is useful for conservation purposes,Population genetics can be used to measure and monitor genetic variation in a population; track invasive species; and discover and define new species.,"One specific application of population genetic principles that can inform effective conservation strategies is identifying the most critical subpopulations or individuals to prioritize for protection and management. By analyzing allele frequencies, scientists can determine the degree of genetic diversity within a species and identify populations at risk of extinction due to low genetic variation. This information can then be used to inform conservation efforts, such as prioritizing the protection of genetically diverse populations or developing breeding programs to increase genetic variation in endangered species.",0.541,0.709,0.614
50,List three characteristics of an ideal genetic marker and explain why they are necessary in population genetic analyses.,"The genetic marker must (1) be polymorphic in the population of interest, or it will not contain any useful information; (2) be a neutral marker (i.e. not under selection) as the analytical models usually assume random distribution of alleles; (3) be affordable and relatively easy to work with, as most projects have a limited budget.","Three essential qualities of an optimal genetic marker are: (1) High variability across individuals, allowing for distinct identification; (2) Heritability, ensuring the marker is passed down through generations; and (3) Ease of detection and measurement. These attributes contribute to the success of population genetic studies by enabling researchers to identify trends, patterns, and relationships within a population, ultimately shedding light on evolutionary processes and disease susceptibility.",0.551,0.558,0.554
51,Define 'genetic testing'.,"Genetic testing is a medical test used to detect specific alleles, mutations, genotypes or karyotypes that are associated with heritable traits, diseases or predispositions to diseases.","Genetic testing allows scientists to analyze an individual's unique DNA sequence to identify potential health risks or inform medical decisions. It involves the analysis of an individual's genetic code, which is composed of four nucleotide bases: adenine (A), guanine (G), cytosine (C), and thymine (T). This analysis can help identify genetic mutations that may be associated with specific diseases or conditions.",0.53,0.651,0.584
52,What are the three main m ethodologies used in genetic sequencing and profiling?,Molecular genetic testing; cytogenetic testing-karyotyping and molecular cytogenetic testing via fluorescence in situ hybridisation (FISH); biochemical genetic testing.,"The three main methodologies used in genetic sequencing and profiling that involve determining the order of nucleotide bases, analyzing DNA fragments, and identifying specific genes or sequences are:

1. PCR (Polymerase Chain Reaction): This method amplifies specific DNA sequences by replicating them millions of times.
2. Electrophoresis: This technique separates DNA fragments based on their size by applying an electric current to the samples.
3. Sequencing: This methodology determines the order of nucleotide bases by reading the sequence of fluorescently labeled nucleotides as they pass through a capillary tube.

These methodologies are used in various applications, including forensic analysis, genetic research, and disease diagnosis.",0.435,0.515,0.472
53,What is an STR? List the steps for determining a DNA profile by STR analysis.,"An STR is a short tandem repeat. They are short repeat sequences of DNA scattered throughout the genome. 
To make a DNA profile: 
• extract DNA from a tissue sample 
• amplify the STRs using PCR (different primers for different STRs) 
• run the PCR products on a gel or capillary electrophoresis 
• compare the bands on a gel or the peaks on the graph.","To generate a DNA profile using Short Tandem Repeats (STRs) for forensic investigations, one should follow these steps:

Firstly, extract DNA samples from evidence or suspects. Then, amplify specific regions of the DNA called STR loci using polymerase chain reaction (PCR). Next, separate the amplified DNA fragments by size using gel electrophoresis or capillary electrophoresis. Finally, analyze the resulting patterns to determine the unique genetic code of an individual.

Note: The provided documents do not directly relate to generating a DNA profile using STRs for forensic investigations. However, they provide information on DNA replication and cell division, which is relevant to understanding the underlying biological processes involved in DNA profiling.",0.598,0.69,0.64
54,What was the original goal of the Human Genome Project?,"The original goal was to determine the complete human genome, the precise order of nucleotides within a DNA
 molecule and the number of genes in one human individual.","The primary objective behind the Human Genome Project was to identify and map all the genes contained within human DNA by sequencing the entire human genome. This ambitious project aimed to provide a complete understanding of the genetic code that underlies human biology and disease, ultimately enabling the development of new treatments and therapies for various diseases.",0.596,0.648,0.621
55,List two reasons that genetic variation is important for the long-term survival of a gene pool.,"Genetic variation means that populations are more able to adapt to changes and challenges in the environment, because natural selection acts upon genetic variation. Genetic variation acts as a buffer against the accumulation of dangerous mutations, as it reduces the chances of inbreeding.","Two essential roles that genetic variation plays in ensuring the long-term persistence of a gene pool, ultimately contributing to the adaptability and resilience of the species are:

1. Evolution: Genetic variation provides the raw material for evolution, allowing populations to adapt to changing environments and survive. This is achieved through natural selection, where individuals with desirable traits are more likely to reproduce, passing on their genes to their offspring.

2. Species continuity: Genetic variation ensures that a species can maintain its integrity by providing a constant supply of new genes and genetic combinations. This is facilitated by processes such as mutation, gene flow, and recombination during meiosis, which increases genetic diversity and helps maintain the continuity of the species.",0.567,0.689,0.622
56,Why are frameshift mutations more significant than substitution point mutations?,A substitution mutation only alters one codon; a frameshift mutation alters every codon after the mutation.,"Frameshift mutations are indeed more significant than substitution point mutations because they can alter the reading frame of the genetic code, leading to the creation of entirely new or truncated proteins that may have significantly different functions or be completely non-functional. This is because frameshift mutations involve insertions or deletions of nucleotides, which can shift the entire sequence and lead to changes in multiple codons and amino acids.",0.494,0.658,0.564
57,2 Explain why silent mutations are called 'silent'.,"Silent mutations are silent because they do not change the amino acid that they code for, and as such they have no functional change in terms of protein products.","Silent mutations occur when a change in a DNA base pair does not affect the amino acid sequence of a protein. This is because silent mutations result from changes to the third nucleotide of a codon, which does not alter the overall reading frame and the resulting amino acid sequence. The reason for this lies in the way genetic information is encoded in DNA: each nucleotide triplet codes for an amino acid, with Adenine pairing with Thymine and Cytosine pairing with Guanine via hydrogen bonds.",0.536,0.634,0.581
58,state which chromosome is affected and whether the chromosome is in excess or missing. a Down syndrome,chromosome 21; one additional copy (trisomy 21),"The chromosome typically duplicated, resulting in an extra copy of genetic material and leading to Down syndrome, is chromosome 21. This occurs when there is an extra copy of the 21st chromosome, also known as trisomy 21.",0.494,0.685,0.574
59,What is a neoplasm?,A neoplasm is a mass of tissue formed by uncontrolled cell division.,"A neoplasm is a type of abnormal cell growth that can potentially become cancerous if left untreated. However, not all neoplasms are malignant, as some may remain benign or non-cancerous. Neoplasms can arise from various tissues and organs in the body, and their progression to cancer depends on factors such as genetic mutations, environmental exposure, and nutritional influences.",0.521,0.718,0.604
60,Give two examples of each of the following: a sources of chemical mutagens b physical mutagens c biological mutagen,"a Sources of chemical mutagens—acceptable answers include mustard gas, ethidium bromide, chemicals contained in tobacco, outdoor air pollution, coffee, nuts, tomatoes, pineapples, herbs, spices, mushrooms, cadmium and arsenic. b Physical mutagens—acceptable answers include particle radiation: nuclear fission, nuclear fusion; high energy electromagnetic radiation (EMR): X-rays, gamma rays and high energy ultraviolet light. c Biological mutagens—acceptable answers include oncoviruses (direct or indirect) such as HTLV-1 and human papillomavirus (HPV) and transposable elements (TEs, transposons).","Here are two examples each of a source of chemical mutagens, physical mutagen, and biological mutagen:

**Chemical Mutagens:**

1. Intercalating agents (e.g., metals like mercury) that slip between DNA base pairs and alter the DNA structure.
2. Base analogues that have a similar form to nitrogen bases, leading to incorrect replication of these molecules instead of the original bases.

**Physical Mutagen:**

1. UV light, which can cause pyrimidine dimers (e.g., thymine dimers) by covalently bonding between two adjacent nucleotides.
2. Gamma radiation and other ionizing radiations that can alter DNA structure or create gaps in it.

**Biological Mutagens:**

1. Viruses like HIV and HBV that infect host cells, replicate themselves using the host cell's replication mechanism, and cause mutations during replication.
2. Bacteria like Helicobacter pylori that release mycotoxins and trigger cell death, leading to an increased opportunity for mutation.",0.51,0.557,0.533
61,Explain how proto-oncogenes and tumour-suppressor genes can cause cancer.,"Proto-oncogenes stimulate cell growth. When these genes are unregulated, cell growth increases, causing tumours/ cancers/neoplasms. Tumour-suppressor genes inhibit cell division. If these genes are damaged, cell division can go unregulated, causing tumours/cancers/neoplasms","Proto-oncogenes and tumor-suppressor genes are crucial for regulating cell growth and division. These genes can become malfunctioning or mutated, contributing to the development of cancer. This occurs when there is an alteration in the normal functioning of these genes, leading to uncontrolled cell proliferation or impaired ability to repair DNA damage.",0.638,0.641,0.639
62,Is the following statement true or false? Mutations to non-coding regions of ONA will not have an effect on the organism. Explain your answer.,False. These mutations interfere with the transcription process; a gene could become partially or entirely non-functional.,"Yes, mutations in non-coding regions of DNA, such as those found in intergenic spaces or regulatory elements, can be completely silent with respect to their effect on an organism's phenotype. Non-coding regions make up approximately 98% of the human genome and are often referred to as ""junk DNA."" These regions do not contain genes that code for proteins and are therefore not directly involved in the production of proteins or other cellular processes. As a result, mutations in these regions may not have any measurable effect on an organism's phenotype.",0.455,0.585,0.512
63,Describe the process by which intrans are removed from the pre-mRNA molecule during transcription.,"During the transcription process, the introns (which do not code for proteins) must be removed to create functional mRNA. The removal is known as splicing and requires a protein complex known as a spliceosome. The spliceosome is made up of small nuclear ribonucleoprotein particles or snRNPs. This spliceosome binds to three recognised sequences along the intron: one at the 5′ end (known as the 5′ junction) one at the 3′ end (the 3′ junction) and one near the 3′ end (the branch point) that allows the intron to fold into a loop before it is removed. After the intron is removed, the exons can join together to create an mRNA molecule with a neat, continuous coding sequence","Here's a concise response to the user's query:

During transcription, introns are removed from pre-mRNA molecules through splicing, where the spliceosome recognizes specific sequences called splice sites at the intron's boundaries and cuts out the intervening sequence, leaving behind an exonic lariat structure that is then released from the spliceosome.",0.622,0.576,0.598
64,What is a deep intronic mutation?,A deep intronic mutation is a mutation that is located more than 100 nucleotides from the 5′ or 3′ junctions between the intron and the exon.,"A deep intronic mutation refers to a rare but significant type of genetic variation characterized by a change or deletion within a non-coding region of DNA, often hundreds to thousands of nucleotides away from the closest coding sequence. This type of mutation can have a profound impact on gene regulation and expression, potentially leading to altered protein function or even disease states.",0.555,0.665,0.605
65,What is the difference between a somatic cell and a germ cell? Give an example of each.,"Somatic cells are all the cells in the body of an organism, apart from the gametes (egg and sperm cells). Examples of somatic cells include skin cells, muscle cells and nerve cells","The key distinction between somatic cells, which make up the majority of cells in our bodies, and germ cells, responsible for transmitting genetic information to offspring, lies in their purpose and characteristics.

Somatic cells are specialized to perform specific functions in different tissues and organs, whereas germ cells, including sperm and egg cells, carry half of the genetic material needed to create a new individual. An illustrative example of each is that somatic cells like skin cells or muscle cells have a specific function, whereas germ cells like sperm and egg cells are designed for reproduction.

Note: The provided documents do not directly address the topic, but I used my knowledge to answer the question.",0.513,0.712,0.596
66,Explain how an error in meiosis can lead to Down syndrome.,"An error in meiosis is caused by non-disjunction of chromosomes/chromatids, where chromosomes/chromatids do not separate. Non-disjunction can occur between homologous chromosomes during anaphase I or between chromatids during anaphase II. Errors in meiosis occur during gamete (sperm or egg) formation. Down syndrome is due to an extra chromosome 21 where a gamete receives two copies of chromosome 21. As a result the zygote (offspring) has three copies of chromosome 21 (trisomy 21) instead of two and a total of 47 chromosomes instead of 46.","During meiosis, the failure of homologous chromosomes to separate properly can result in an individual being born with an extra copy of chromosome 21, characteristic of Down syndrome. This occurs when one pair of chromosomes fails to divide correctly, resulting in a gamete receiving an extra copy of chromosome 21. When this gamete fuses with another gamete during fertilization, it creates an embryo with an extra copy of chromosome 21, leading to the genetic disorder known as Down syndrome.",0.669,0.581,0.622
67,Why is polyploidy more common in plants than animals?,"Polyploidy is more common in plants than animals because many plants can reproduce by asexual reproduction. For example, a triploid plant (3n) is typically sterile or has low fertility because of problems with chromosome pairing during meiosis and gamete formation. But it could survive by vegetative reproduction. Fewer complex animals can reproduce asexually, so polyploidy that results in sterility is less common.","The frequency of polyploidy differs significantly between plant and animal species, with plants exhibiting a much higher incidence of polyploidy. This is because plants have evolved mechanisms to facilitate polyploidization through meiosis, such as the formation of unreduced gametes or the fusion of multiple nuclei during fertilization. In contrast, animals tend to maintain their diploid state and undergo meiosis to produce haploid gametes that then fuse to form a zygote.",0.628,0.624,0.626
68,Define the term 'biotechnology'.,"Biotechnology is an interdisciplinary technology, which uses biological processes and organisms to create new products and develop new technologies.","Biotechnology is a field that combines biology, technology, and engineering principles to develop innovative products and processes for improving human health, agriculture, and the environment. This integration of disciplines enables the creation of new medical treatments, agricultural products, and environmental solutions.",0.637,0.762,0.694
69,Define the term 'selective breeding' and provide an example of its application in ancient times.,"Selective breeding is a process where the animals or plants that express desired characteristics are bred together to produce offspring that will also show these characteristics. Examples will vary but may include horses, which have been bred for different uses such as ploughing, racing and dressage.","Selective breeding is a process of intentionally modifying the traits of domesticated animals or plants by creating organisms with desirable characteristics. Ancient civilizations utilized selective breeding to modify the traits of their domesticated animals and plants, such as cattle, sheep, and crops. This was achieved through controlled mating and breeding programs that favored individuals with desired characteristics, ultimately leading to the development of new breeds or varieties over time.",0.625,0.62,0.622
70,Identify the significant scientific event that marked the commencement of modern biotechnology.,The discovery of DNA.,"The groundbreaking discovery or breakthrough that initiated the development of modern biotechnology, revolutionizing the way we understand and manipulate biological systems, is the discovery of recombinant DNA technology in the 1970s. This technology enabled scientists to combine DNA molecules from different sources, allowing for the manipulation of genetic information and the creation of genetically modified organisms (GMOs).",0.434,0.636,0.516
71,Describe the positive social impacts of the GM crop Golden Rice.,"Answers may vary but could include: improved health and nutrition to some of the poorest communities, reduced vitamin A deficiency in some of the poorest communities, the success of Golden Rice has promoted the development of further GM crops.","The cultivation and consumption of Golden Rice, a genetically modified crop designed to produce beta-carotene and address vitamin A deficiencies in developing countries, can have several notable benefits to society. Firstly, it supplies nutrition to individuals, reducing the risk of vitamin A deficiency-related illnesses and associated economic burdens. Additionally, Golden Rice reduces the need for pesticides, which can improve environmental sustainability and public health. Overall, this crop has the potential to make a significant positive impact on the well-being and quality of life in developing countries.",0.547,0.573,0.56
72,Explain why a religion or culture may oppose the use of transgenic animals.,"Some religions restrict certain foods. While a transgenic animal may appear to be of one species, it may contain some genetic elements of species, which members of different religious groups choose not to eat. Some cultures may also have ethical reasons for opposing the use of transgenic animals.","Some possible reasons why certain religions or cultures might have ethical or moral concerns about the creation and use of transgenic animals, potentially leading them to oppose such practices, include concerns about altering the natural order, playing God, and interfering with the divine plan. Additionally, some may be troubled by the potential risks and unknowns associated with genetically modified organisms, including the possibility of unintended consequences for ecosystems and human health.",0.569,0.646,0.605
73,Describe how genetic variation can benefit agricultural biotechnology.,"Genetic variation improves the evolutionary potential of populations, species, cultivars and breeds of organisms. This improves their long-term stability and the potential to develop new plant cultivars and animal breeds.","The presence of genetic variation contributes significantly to the development of more resilient, disease-resistant, and high-yielding crop varieties. This is because genetic variation allows for the creation of new genes through processes such as mutation, gene flow, and genetic drift. These new genes can then be expressed in proteins that provide desirable traits, such as resistance to diseases or improved yield.",0.56,0.585,0.573
74,Explain how the increased use of a species for biotechnology could cause biodiversity loss.,"If a species is increasingly used for biotechnology, its value rises. This could lead to overexploitation and endangerment of the species.","The overexploitation of a species for biotechnology applications, such as genetic engineering or biomedical research, can lead to population declines or even extinctions by disrupting natural habitats, altering food webs, and reducing ecological niches. This can ultimately contribute to biodiversity loss. The disruption of natural habitats can occur through the introduction of non-native species, alteration of environmental conditions, and destruction of habitats. Altering food webs can also have cascading effects on ecosystems, leading to population declines or extinctions. Additionally, the reduction of ecological niches can lead to a loss of functional diversity, making it difficult for other species to coexist and thrive in the affected ecosystem.",0.546,0.709,0.617
75,Differentiate between in situ and ex situ conservation methods.,"In situ practices maintain the organism in its natural environment, whereas ex situ methods conserve organisms outside of their natural environment (e.g. in zoos).","The key differences between conservation methods that protect ecosystems and species within their natural habitats (in situ) versus those that relocate or recreate such environments outside of them (ex situ) are:

In situ conservation involves preserving the natural environment and ecosystem services, whereas ex situ conservation focuses on relocating or recreating specific components of the ecosystem. In situ conservation is often more effective for maintaining biodiversity and ecosystem function, as it preserves the complex relationships between species and their environment.",0.575,0.695,0.629
76,Define the term 'artificial insemination',Artificial insemination is a reproductive technology that involves the deliberate introduction of male sperm into the female reproductive tract by a method other than sexual intercourse.,"Artificial insemination involves the intentional placement of sperm into a female's reproductive system outside of natural sexual intercourse to facilitate fertilization and pregnancy. This process typically occurs through the insertion of semen, which contains the sperm, into the cervix or uterus using various medical instruments or devices. The inserted semen then travels up the fallopian tube, where it can fertilize an egg, allowing for conception and potential pregnancy.",0.582,0.778,0.666
77,What advantages does artificial insemination bring to agriculture?,"Answers may vary but could include: • multiple females can be impregnated from one sample • females in different geographic locations to the male can be impregnated • farmers don’t have to keep male animals on their property • avoids behavioural challenges associated with mating animals • reproductive health of population protected through screening of semen samples • requires no animal-to-animal contact, avoiding the spread of disease.","Improved crop yields, increased farm efficiency, and enhanced genetic diversity through the practice of artificial insemination in agriculture can bring numerous benefits. For instance, genetically modified crops like BT Cotton can provide resistance to pests and diseases, reducing the need for insecticides and herbicides, which can lead to environmental and human health improvements. Additionally, these crops can increase yields and improve farm productivity, ultimately enhancing the overall efficiency of farming operations.",0.492,0.454,0.472
78,How does artificial insemination differ from in vitro fertilisation (IVF)?,Artificial insemination involves the delivery of semen directly into the female reproductive system. Whereas IVF removes the egg from the female and fertilises it with the sperm in a laboratory setting prior to returning the fertilised egg back into the female uterus.,"The main differences between artificial insemination and in vitro fertilization (IVF) are the location and method of fertilization. Artificial insemination involves inserting sperm into a female's reproductive tract to facilitate natural conception, whereas IVF is an assisted reproductive technology where an egg is fertilized with sperm outside the body in a laboratory setting. In IVF, eggs are retrieved from the ovaries, mixed with sperm, and then incubated until they develop into embryos, which are then transferred into the uterus for implantation.",0.64,0.743,0.688
79,What is artificial twinning? How does it differ from the birth of natural identical twins?,"Artificial twinning splits an embryo in two very early in the development process. Both halves of the embryo continue to divide leading to two separate individuals with identical genetic make-up. Artificial embryo twinning differs from natural identical twin development as it is carried out in a laboratory petri dish, with the early embryo artificially separated into individual cells and allowed to continue dividing. The embryos are then transferred into a surrogate mother.","The key differences between artificial twinning, where two embryos are created in vitro and then transferred into a surrogate mother's uterus, compared to the spontaneous formation of natural identical twins during fetal development lie in the origins of the embryos and the role of hormones.

In natural twinning, the fusion of the sperm and ovum results in the formation of a single zygote that implants in the endometrium. Hormones such as hCG and progesterone play crucial roles in maintaining the corpus luteum and supporting implantation. In contrast, artificial twinning involves the creation of two separate embryos through in vitro fertilization (IVF), which are then transferred into a surrogate mother's uterus. The development of these embryos is supported by the same hormonal regulation as natural pregnancy.

The key difference lies in the initial formation of the embryos and the subsequent hormonal responses that occur during pregnancy. Natural twinning involves the spontaneous fusion of sperm and ovum, while artificial twinning involves the intentional creation and transfer of multiple embryos through IVF.",0.545,0.619,0.58
80,Explain the process of somatic cell nuclear transfer.,"Somatic cell nuclear transfer involves the removal of chromosomes from an egg cell and replaces them with the nucleus of a somatic cell taken from the organism being cloned. The egg cell is then induced to divide. Once the embryo has developed, it is transferred to the uterus of a surrogate female organism. The individual that is born following gestation will be an identical genetic copy of the animal from which the original somatic cell was taken.","Creating a genetically identical clone by transferring the nucleus from an adult cell into an enucleated egg involves several steps, including:

1. Extracting the nucleus from the adult cell.
2. Enucleating the egg, removing its original nucleus.
3. Transferring the extracted nucleus into the enucleated egg.
4. Manipulating DNA replication to produce multiple copies of the desired gene sequence.

The resulting clone will not be phenotypically identical to its parent organism due to environmental factors and genetic variations.",0.576,0.607,0.591
81,Describe the term 'gene therapy'.,Gene therapy refers to the insertion of a gene into an individual’s cells to correct or replace defective gene function that leads to disease.,"Gene therapy is a technique that involves modifying genes to treat or prevent genetic disorders or diseases. It's achieved by inserting healthy genes into cells in place of missing or defective genes, allowing for the correction of genetic abnormalities. This therapeutic approach has the potential to cure genetic diseases and reduce their deadly effects. Gene modification has aided in the mass manufacture of hormones and enzymes that can aid in disease cures and reduction of their deadly effects.",0.592,0.684,0.635
82,What types of human proteins are commonly produced by recombinant DNA technology?,"Human proteins commonly produced by recombinant DNA technology are hormones, enzymes, vaccines and cytokines.","Human proteins commonly produced through recombinant DNA technology include insulin, growth hormone, interferon alpha, erythropoietin, and granulocyte-colony stimulating factor. These proteins are used to treat various medical conditions, such as diabetes and anemia.",0.603,0.81,0.691
83,What is a plasmid? Describe the role played by plasmids in gene cloning.,"A plasmid is a circular molecule of bacterial DNA. Plasmids are useful in gene cloning. They replicate frequently within the bacterial cell. When a foreign gene such as the human insulin gene is inserted into bacterial plasmids and the bacteria are cultured, large amounts of the protein (insulin) can be produced by the bacteria.","Here's a concise response to the user's query:

The key characteristics of plasmids are that they are small, circular, double-stranded DNA molecules that can replicate independently. These self-replicating vectors provide a means for introducing recombinant DNA into host cells by allowing foreign DNA sequences to be inserted and expressed. Plasmids can facilitate gene cloning by providing a vehicle for transferring genetic information between organisms or within an organism, enabling the introduction of novel traits or functions.",0.568,0.647,0.605
84,Describe a genetically modified organism and compare it to a transgenic organism.,"A genetically modified organism (GMO) is an organism that has an alteration to one or more genes due to gene transfer, mutagenesis or gene editing. Transgenic organisms are a subset of GMOs; they have a gene from a different source inserted into their genome (e.g. a plant with a bacterial insecticide gene, a mouse with a human antibody gene, or a goat with a spider silk protein gene).","The terms ""Genetically Modified Organism (GMO)"" and ""Transgenic Organism"" are often used interchangeably, but they actually refer to slightly different concepts.

A Genetically Modified Organism (GMO) is an organism whose genetic material has been altered using biotechnology. This can include introducing genes from another species or breed, or modifying existing genes within the same species. The goal of GMOs is typically to introduce a new trait or characteristic, such as resistance to pests or diseases, improved nutritional content, or enhanced agricultural productivity.

A Transgenic Organism, on the other hand, specifically refers to an organism that has had its DNA changed by introducing genes from another species or breed. This can include inserting genes from bacteria into plants, or transferring genes from one animal to another. The resulting organism may exhibit new characteristics not present in either parent species.

In summary, all transgenic organisms are GMOs, but not all GMOs are necessarily transgenic.",0.594,0.632,0.613
85,Identify two advantages of artificial insemination for human fertility treatment,Artificial insemination is a relatively inexpensive and non-invasive procedure.,"The benefits of artificial insemination as an alternative method for achieving pregnancy in cases where natural conception is not possible include increased opportunities for parenthood. This method allows individuals to conceive even when they face challenges with natural reproduction, providing a means to build their family.",0.503,0.62,0.555
86,Define the term 'xenotransplantation'.,"Xenotransplantation involves the transplantation of cells, tissues or organs from a donor species to a different species (e.g. from a non-human donor species to a human).","Xenotransplantation is the process of transplanting organs or tissues from one species to another for the purpose of medical treatment. This can include transplanting organs such as hearts, kidneys, or livers from pigs or other animals into humans. The process involves matching the donor organ with the recipient's immune system to prevent rejection and ensure proper function. Xenotransplantation has the potential to address the shortage of available human organs for transplantation, but it also raises concerns about the risk of transmitting animal diseases to humans and the ethical implications of using non-human organs in medical treatment.",0.581,0.74,0.651
