ID,QUESTION,ANSWER,Generated Answer,Precision,Recall,F1
38,Outline the main structural features of eukaryotic genes and their functions.,"stop and start codons—regions at which encoding DNA begins and ends for a specific gene
 promoter regions—an upstream binding region for the enzyme that is involved in the encoding process
 (which is RNA polymerase)
 exons—DNA regions that are coding segments
 introns—DNA regions that are non-coding segments","Eukaryotic genes are characterized by their organization, transcriptional regulation, and expression mechanisms. The key components of eukaryotic genes include the nucleus, which stores genetic information and coordinates cell activity, and ribosomes, which synthesize proteins. Gene expression involves transcription, where DNA is converted into mRNA, followed by translation, where mRNA is used as a template to build polypeptides that fold into proteins. Regulatory sequences in non-coding DNA promote or suppress gene expression, influencing the production of proteins with specific functions.",0.456,0.506,0.48
39,"Proteins are key components of cells. Outline, with
 examples, at least five different roles carried out by
 proteins.","Proteins have various functions in cells/organisms. They act as enzymes to catalyse all biochemical reactions, form structural components of cells and organs, are involved in movement (e.g. as contractile fibres in cells), are embedded in cell and organelle membranes as well as being involved in the transport of materials across membranes. They are also involved in the transport of substances such as oxygen in red blood cells by bonding to haemoglobin protein, for signal transduction, cell recognition, communication (e.g. as hormones like oestrogen) or antibodies involved in immune defence.","Proteins perform several essential functions within cells. Some proteins form pores or channels to aid in the transport of larger molecules or maintain the intra/extra cellular environments. Other proteins serve as receptors, recognition markers, or glycoproteins that identify cells and allow for cell-to-cell interaction and communication. Additionally, enzymes, hormones, and structural proteins like haemoglobin have specific functions that enable chemical reactions, regulate metabolism, and provide structure to cells.",0.658,0.623,0.64
40,Distinguish between the proteome and proteomics.,"A proteome is the complete set of proteins in an individual organism. Proteomics is the scientific study of the proteins, including the use of technologies that assist in studying and understanding proteins.","The key difference between the term ""proteome"" and the field of study known as ""proteomics"" lies in their scope and focus. The proteome refers to all the proteins produced by an organism, encompassing their structure, function, and interactions. Proteomics, on the other hand, involves analyzing and understanding the properties, functions, and interactions of these proteins to gain insights into biological processes and disease mechanisms. While the proteome is a static concept describing the entire set of proteins, proteomics is a dynamic field that seeks to elucidate the dynamics of protein expression, modification, and regulation.",0.586,0.739,0.653
41,Compare fibrous and globular proteins,"Fibrous proteins are elongated with little or no tertiary folding, usually insoluble and have have structural roles like keratin in fingernails. Whilst globular proteins are compactly folded and coiled into spherical tertiary and quaternary structures, usually soluble such as enzymes and hormones are globular proteins.","The main structural differences between fibrous proteins and globular proteins are their three-dimensional shapes. Fibrous proteins, such as collagen, have a long chain-like structure that forms fibers or filaments, whereas globular proteins have a compact, sphere-like shape due to unique folding patterns. The structure of proteins is determined by the sequence of amino acids and the interactions between them, with hydrogen bonds playing a crucial role in shaping the protein's conformation.",0.579,0.605,0.592
42,Explain what is meant by a protein becoming 'denatured'.,"A protein is said to be denatured when the hydrogen bonds, hydrophobic interactions and van der Waals forces that create the tertiary structure of the protein are broken and the shape of the protein is altered.","When a protein becomes denatured, its native three-dimensional structure is disrupted or unfolded due to various external factors such as changes in temperature, pH, or the presence of certain chemicals. This results in a loss of biological function and often leads to precipitation or aggregation.",0.556,0.59,0.573
43,Outline the factors that can cause a protein to become denatured.,A protein is denatured when it is exposed to temperatures above its optimum temperature and sometimes when the protein is exposed to pH levels higher or lower than its optimum pH.,"Environmental, physical, or chemical factors that can disrupt the native structure of a protein, leading to its unfolding and loss of biological function include changes in temperature, pH, substrate concentration, enzyme concentration, and the presence of denaturants. Additionally, proteins can be affected by cofactors and inhibitors, which bind to specific sites on the protein and alter its shape or function. These factors can cause proteins to misfold, leading to a loss of their biological activity.",0.474,0.576,0.52
44,Explain the difference between the genotype and phenotype of an individual.,A genotype is the combination of alleles that an individual has for the characteristic being investigated. The phenotype of the individual is the trait that a given genotype expresses. The environment also plays a role in the expression of the phenotype.,"The fundamental distinction between an organism's genetic makeup (genotype) and its observable characteristics (phenotype) lies in the fact that genotype refers to the entire genetic blueprint of an organism, while phenotype refers to the traits and characteristics expressed by that organism. The relationship between genotype and phenotype is such that the genotype influences the expression of the phenotype, with certain genes being ""switched on"" or off depending on environmental factors. This difference ultimately affects the physical features, behavior, and physiology of an individual, making it a crucial concept in understanding heredity and development.",0.568,0.687,0.622
45,Describe an example where an organism's phenotype can be affected by the environment in which it is raised.,"An example answer is—Flower colour in hydrangeas is affected by the pH of the soil,
 which affects the availability of aluminium in the soil to the plant. Therefore, plants with the same genotype can have
 different colour phenotypes.","Environmental factors such as diet or temperature can influence the physical characteristics and behaviors of an organism without altering its underlying genetic makeup. For example, changes in temperature can affect an organism's metabolic rate, leading to adaptations like insulation, metabolism, or behavioral mechanisms to maintain a constant body temperature. Similarly, variations in sunlight can impact photosynthesis in plants, affecting herbivores and predators that rely on them. These environmental factors can shape an organism's survival, abundance, diversity, and even evolution without modifying its genetic makeup.",0.523,0.558,0.54
46,What is meant by the term 'monohybrid cross'?,Monohybrid crosses are crosses between two individuals with different alleles at a single genetic locus. These crosses are performed to determine which trait is dominant.,"A monohybrid cross refers to the breeding of two organisms that have differing alleles for a single trait. It involves crossing two individuals with distinct but homogeneous traits, resulting in offspring that exhibit predictable combinations of these traits. In a monohybrid cross, one allele is dominant and the other is recessive. The F1 generation will express the dominant trait, while the F2 generation will display a 3:1 ratio of dominant to recessive phenotypes.",0.597,0.746,0.663
47,What is the Law of Independent Assortment and what does it state?,"Mendel’s second law of inheritance, the Law of Independent Assortment, states that the alleles of a gene controlling one trait assort independently of alleles of another gene controlling a different trait.","The Law of Independent Assortment states that each pair of traits will be assorted independently during the formation of gametes, meaning that the chance of one trait being expressed does not depend on the expression of another trait. This is demonstrated through random segregation and independent assortment of chromosomes during meiosis, resulting in genetically unique gametes.",0.576,0.68,0.624
48,What are the possible outcomes of meiosis in a heterozygote individual with the genotype AaBb? List all the gametes that this individual could produce.,"The possible outcomes of meiosis (gametes) in a heterozygote individual with the genotype AaBb (for unlinked genes, or linked genes after crossing over) are AB, Ab, aB, ab.","Based on the provided documents, I can conclude that the possible outcomes of meiosis in a heterozygote individual with the genotype AaBb are four unique gametes. This is because crossing over and recombination occur during meiosis, which randomly separates homologous chromosomes and exchanges genetic material between them.

The total number of unique gametes that this individual could produce through crossing over and recombination can be calculated as 2^4 = 16, since there are four possible combinations for each pair of alleles (Aa or AA, aa or Aa).",0.582,0.757,0.658
49,List one way in which population genetics is useful for conservation purposes,Population genetics can be used to measure and monitor genetic variation in a population; track invasive species; and discover and define new species.,"Understanding the genetic structure of populations is crucial for conservation efforts as it helps identify critical areas to protect and manage to maintain ecosystem resilience. By analyzing the frequency of different alleles and genetic variation within and among populations, scientists can predict the outcome of a population under particular circumstances. This information guides conservation decisions, ensuring that endangered or threatened species are preserved and capable of coping with environmental change.",0.545,0.664,0.599
50,List three characteristics of an ideal genetic marker and explain why they are necessary in population genetic analyses.,"The genetic marker must (1) be polymorphic in the population of interest, or it will not contain any useful information; (2) be a neutral marker (i.e. not under selection) as the analytical models usually assume random distribution of alleles; (3) be affordable and relatively easy to work with, as most projects have a limited budget.","A genetic marker is essential for population genetic studies as it must exhibit specific characteristics to accurately analyze allele frequencies and evolutionary processes. These features include high polymorphism, a large effective population size, and strong selective forces that drive the fixation of beneficial alleles. Additionally, SNPs (single nucleotide polymorphisms) are crucial in population genetics as they provide valuable information on genetic variation within a species.",0.574,0.526,0.549
51,Define 'genetic testing'.,"Genetic testing is a medical test used to detect specific alleles, mutations, genotypes or karyotypes that are associated with heritable traits, diseases or predispositions to diseases.","Genetic testing refers to the process of analyzing an individual's DNA or chromosomes to identify specific genetic variations or mutations. This analysis can be used for diagnosis, risk assessment, or identifying ancestry or inherited traits. Genetic testing typically involves amplifying DNA using PCR (polymerase chain reaction), followed by techniques such as gel electrophoresis or Sanger sequencing to determine the sequence of nucleotides. The goal is to identify specific genetic variations or mutations that can provide valuable information for diagnosis or risk assessment.",0.563,0.632,0.596
52,What are the three main m ethodologies used in genetic sequencing and profiling?,Molecular genetic testing; cytogenetic testing-karyotyping and molecular cytogenetic testing via fluorescence in situ hybridisation (FISH); biochemical genetic testing.,"The three main methodologies used in genetic sequencing and profiling are:

1. Sanger sequencing: This technique uses chain-terminating nucleotides to determine the sequence of nucleotides in DNA.
2. Next-generation sequencing (NGS): This method uses advanced technologies such as polymerase chain reaction (PCR) and gel electrophoresis to analyze thousands of genes at a time.
3. Polymerase Chain Reaction (PCR): PCR is used to amplify specific DNA sequences, making it possible to study genomes and the proteins they encode.

These methodologies have revolutionized our understanding of gene expression and disease diagnosis by enabling scientists to identify genetic mutations responsible for diseases, predict disease susceptibility, and develop personalized medicine.",0.438,0.521,0.476
53,What is an STR? List the steps for determining a DNA profile by STR analysis.,"An STR is a short tandem repeat. They are short repeat sequences of DNA scattered throughout the genome. 
To make a DNA profile: 
• extract DNA from a tissue sample 
• amplify the STRs using PCR (different primers for different STRs) 
• run the PCR products on a gel or capillary electrophoresis 
• compare the bands on a gel or the peaks on the graph.","Short Tandem Repeats (STRs) are specific regions of DNA that vary in length between individuals. To determine a DNA profile by STR analysis, PCR is used to amplify these regions, and then the amplified fragments are separated and detected using capillary electrophoresis or other methods. The resulting pattern of bands creates a unique DNA profile for each individual, which can be used to determine identity or identify an unknown person.",0.636,0.667,0.651
54,What was the original goal of the Human Genome Project?,"The original goal was to determine the complete human genome, the precise order of nucleotides within a DNA
 molecule and the number of genes in one human individual.","The primary objective behind the initiation of the Human Genome Project was to decipher the entire human DNA sequence by identifying all 3 billion base pairs that make up the human genome. This would provide insight into the causes of human disease, enabling the identification of nucleotide sequences and potential mutations responsible for specific diseases.",0.639,0.694,0.665
55,List two reasons that genetic variation is important for the long-term survival of a gene pool.,"Genetic variation means that populations are more able to adapt to changes and challenges in the environment, because natural selection acts upon genetic variation. Genetic variation acts as a buffer against the accumulation of dangerous mutations, as it reduces the chances of inbreeding.","Two fundamental reasons why genetic variation plays a crucial role in ensuring the long-term persistence of a gene pool are: firstly, genetic variation allows for adaptation to changing environments through natural selection, where individuals with desirable traits are more likely to survive and reproduce, passing on their genes to their offspring. Secondly, genetic variation provides a mechanism for species to evolve and respond to new challenges, as it increases the likelihood of beneficial mutations arising and being passed down through generations.",0.619,0.743,0.675
56,Why are frameshift mutations more significant than substitution point mutations?,A substitution mutation only alters one codon; a frameshift mutation alters every codon after the mutation.,"Frameshift mutations have a greater impact on protein function and overall cellular processes compared to substitution point mutations because they alter the reading frame of amino acids, potentially changing all amino acids after the mutation. This can result in a completely different amino acid sequence, leading to a dysfunctional or non-functional protein that can significantly affect an organism's health. In contrast, point mutations typically only change one amino acid at a time, with less severe consequences for the organism.",0.498,0.699,0.582
57,2 Explain why silent mutations are called 'silent'.,"Silent mutations are silent because they do not change the amino acid that they code for, and as such they have no functional change in terms of protein products.","Silent mutations, by definition, do not change the amino acid sequence of a protein. This occurs when more than one codon codes for the same amino acid, resulting in no observable impact on gene function or expression. Despite their innocuous-sounding name, silent mutations can still have significant effects if they occur in regulatory regions or affect non-coding DNA segments, which can impact gene expression.",0.571,0.687,0.624
58,state which chromosome is affected and whether the chromosome is in excess or missing. a Down syndrome,chromosome 21; one additional copy (trisomy 21),"The chromosome involved in Down syndrome is typically an extra copy (trisomy) rather than being completely absent. Specifically, individuals with Down syndrome have three copies of chromosome 21 instead of the usual two copies found in a normal human karyotype. This occurs due to nondisjunction during meiosis, resulting in gametes with incorrect numbers of chromosomes.",0.425,0.701,0.529
59,What is a neoplasm?,A neoplasm is a mass of tissue formed by uncontrolled cell division.,"A neoplasm is an abnormal growth of cells that can be benign or malignant. A benign tumor, also known as a neoplastic lesion, is a non-cancerous growth that does not spread to other parts of the body. On the other hand, a malignant tumor, also referred to as cancer, is a group of cells that grows and multiplies uncontrollably, often spreading to other parts of the body.

In simple terms, a neoplasm can be thought of as an unwanted growth that can either remain dormant or grow out of control.",0.516,0.755,0.613
60,Give two examples of each of the following: a sources of chemical mutagens b physical mutagens c biological mutagen,"a Sources of chemical mutagens—acceptable answers include mustard gas, ethidium bromide, chemicals contained in tobacco, outdoor air pollution, coffee, nuts, tomatoes, pineapples, herbs, spices, mushrooms, cadmium and arsenic. b Physical mutagens—acceptable answers include particle radiation: nuclear fission, nuclear fusion; high energy electromagnetic radiation (EMR): X-rays, gamma rays and high energy ultraviolet light. c Biological mutagens—acceptable answers include oncoviruses (direct or indirect) such as HTLV-1 and human papillomavirus (HPV) and transposable elements (TEs, transposons).","Two examples each of sources that can cause genetic mutations through chemical, physical, or biological means are:

Chemical Sources:

* Mercury: a naturally occurring metal that can be toxic and mutagenic
* Chemicals produced by incomplete burning (such as bushfire) and chemicals that occur naturally in the environment (like those found in rocks and soils)

Physical Source:

* Cosmic radiation from the sun and natural sources of radiation in rocks and soils

Biological Sources:

* Viruses: they can insert their genome into a host cell and disrupt the host DNA, leading to mutations
* Bacteria infections: they can induce inflammation, which may reduce the efficiency of DNA repair systems and increase the rate of mutation",0.516,0.507,0.512
61,Explain how proto-oncogenes and tumour-suppressor genes can cause cancer.,"Proto-oncogenes stimulate cell growth. When these genes are unregulated, cell growth increases, causing tumours/ cancers/neoplasms. Tumour-suppressor genes inhibit cell division. If these genes are damaged, cell division can go unregulated, causing tumours/cancers/neoplasms","Proto-oncogenes are normal genes that promote cell growth and division when their function is disrupted, they become overactive or mutated to promote uncontrolled cell growth. On the other hand, tumor-suppressor genes normally regulate cell growth and division but become inactive or mutated to allow uncontrolled cell growth. When proto-oncogenes are altered or more active than usual, they may become cancer-causing genes allowing cells to grow and survive where they shouldn’t. Similarly, when tumor-suppressor genes are inactivated or mutated, they can no longer regulate cell growth and division leading to the development of cancer.",0.616,0.646,0.63
62,Is the following statement true or false? Mutations to non-coding regions of ONA will not have an effect on the organism. Explain your answer.,False. These mutations interfere with the transcription process; a gene could become partially or entirely non-functional.,"Mutations occurring in non-coding regions of DNA can still have a significant impact on an organism, even if they don't directly affect protein production. These mutations can influence gene expression by affecting regulatory sequences or promoters that control when and where genes are turned on or off. This can lead to changes in developmental pathways, embryonic development, or even predispose individuals to specific diseases. Additionally, some non-coding DNA regions code for other end-products, such as rRNA and nuclear RNA, which play important roles in cellular processes.",0.484,0.597,0.534
63,Describe the process by which intrans are removed from the pre-mRNA molecule during transcription.,"During the transcription process, the introns (which do not code for proteins) must be removed to create functional mRNA. The removal is known as splicing and requires a protein complex known as a spliceosome. The spliceosome is made up of small nuclear ribonucleoprotein particles or snRNPs. This spliceosome binds to three recognised sequences along the intron: one at the 5′ end (known as the 5′ junction) one at the 3′ end (the 3′ junction) and one near the 3′ end (the branch point) that allows the intron to fold into a loop before it is removed. After the intron is removed, the exons can join together to create an mRNA molecule with a neat, continuous coding sequence","During transcription, introns are removed from the pre-mRNA molecule through a process called splicing, wherein the RNA polymerase II enzyme creates a lasso-like structure around the intron and then snips it out of the transcript, releasing the mature mRNA molecule. This process involves the joining of exons, which are protein-coding regions, to form a continuous sequence that can be translated into a polypeptide chain.",0.648,0.59,0.618
64,What is a deep intronic mutation?,A deep intronic mutation is a mutation that is located more than 100 nucleotides from the 5′ or 3′ junctions between the intron and the exon.,"A deep intronic mutation refers to an alteration that occurs more than 3 kilobases away from the nearest exon, essentially disrupting the normal splicing pattern of the gene without affecting the coding sequence.",0.679,0.728,0.703
65,What is the difference between a somatic cell and a germ cell? Give an example of each.,"Somatic cells are all the cells in the body of an organism, apart from the gametes (egg and sperm cells). Examples of somatic cells include skin cells, muscle cells and nerve cells","Somatic cells, which make up most of our body's cells, are specialized to perform specific functions in various tissues and organs. They have a distinct set of characteristics that allow them to carry out their duties efficiently. In contrast, germ cells, responsible for reproduction, have unique features that enable them to produce offspring.

The fundamental distinctions between somatic and germ cells lie in their organization, structure, and function. Somatic cells are differentiated into specific types based on the location and function they serve, whereas germ cells are designed for reproductive purposes.",0.485,0.618,0.543
66,Explain how an error in meiosis can lead to Down syndrome.,"An error in meiosis is caused by non-disjunction of chromosomes/chromatids, where chromosomes/chromatids do not separate. Non-disjunction can occur between homologous chromosomes during anaphase I or between chromatids during anaphase II. Errors in meiosis occur during gamete (sperm or egg) formation. Down syndrome is due to an extra chromosome 21 where a gamete receives two copies of chromosome 21. As a result the zygote (offspring) has three copies of chromosome 21 (trisomy 21) instead of two and a total of 47 chromosomes instead of 46.","A non-disjunction event during meiosis, where one of the 23 pairs of chromosomes fails to separate properly, can result in an extra copy of chromosome 21 being present in every cell, leading to Down syndrome. This occurs when homologous pairs do not separate correctly, resulting in one gamete having two copies of a particular chromosome and another gamete having none. In this case, the extra copy of chromosome 21 is present in every cell, which can lead to the characteristic features of Down syndrome.",0.656,0.624,0.64
67,Why is polyploidy more common in plants than animals?,"Polyploidy is more common in plants than animals because many plants can reproduce by asexual reproduction. For example, a triploid plant (3n) is typically sterile or has low fertility because of problems with chromosome pairing during meiosis and gamete formation. But it could survive by vegetative reproduction. Fewer complex animals can reproduce asexually, so polyploidy that results in sterility is less common.","Plant species tend to exhibit higher frequencies of polyploidy compared to animal species due to differences in their reproductive strategies and genetic mechanisms. In plants, sexual reproduction is the primary mode of reproduction, which involves the fusion of male and female gametes to form a zygote. This process can occur externally or internally, and it allows for the production of offspring with increased genetic diversity. In contrast, many animal species rely on external fertilization, where gametes are discharged into the environment, making polyploidy less common. Additionally, plants have evolved various mechanisms to ensure successful fertilization, such as synchronizing gamete production and release, which can lead to an increase in polyploid offspring.",0.602,0.637,0.619
68,Define the term 'biotechnology'.,"Biotechnology is an interdisciplinary technology, which uses biological processes and organisms to create new products and develop new technologies.","Biotechnology is the manipulation of living organisms or biological processes for human benefit. It applies to the manipulation of biological systems, processes, or organisms for practical purposes such as medical treatment, agriculture, or industrial applications. This can be achieved through various methods like recombinant DNA, PCR, and SCNT, which have enabled efficient genetic modification and editing. Biotechnology has numerous applications in industries, including the production of genetically modified microorganisms for cleaning, biofertilizers, biopesticides, and biofuels. It also has significant potential benefits for society, such as reducing death rates from organ transplant rejections and improving human health through vaccines and antibiotics.",0.489,0.641,0.555
69,Define the term 'selective breeding' and provide an example of its application in ancient times.,"Selective breeding is a process where the animals or plants that express desired characteristics are bred together to produce offspring that will also show these characteristics. Examples will vary but may include horses, which have been bred for different uses such as ploughing, racing and dressage.","Selective breeding refers to the process of deliberately choosing certain characteristics or traits in one generation to produce offspring with desired qualities. This is achieved by keeping individuals with favourable characteristics together to enable them to mate, artificial insemination, and identifying some animal species that have arisen due to selective breeding.

One example from ancient times is the development of smaller, more docile dogs through artificial selection by early farmers to hunt and guard their crops.",0.597,0.64,0.618
70,Identify the significant scientific event that marked the commencement of modern biotechnology.,The discovery of DNA.,"The groundbreaking scientific discovery that marked the beginning of modern biotechnology and revolutionized our understanding of biological processes was the development of recombinant DNA technology. This innovation enabled scientists to combine genetic material from different sources, paving the way for significant advancements in fields such as medicine, agriculture, and industry. The precise manipulation of genes using techniques like PCR and CRISPR/Cas9 has opened up new possibilities for gene therapy, synthetic biology, and biofabrication, among others.",0.387,0.607,0.472
71,Describe the positive social impacts of the GM crop Golden Rice.,"Answers may vary but could include: improved health and nutrition to some of the poorest communities, reduced vitamin A deficiency in some of the poorest communities, the success of Golden Rice has promoted the development of further GM crops.","Cultivating Golden Rice has several potential benefits, including improved public health outcomes and enhanced food security. The genetically modified crop is designed to address vitamin A deficiency in developing countries, which can cause blindness and other serious health problems. By incorporating beta-carotene into the rice, Golden Rice provides a natural source of vitamin A, helping to prevent deficiency-related issues. This technology has the potential to significantly reduce the incidence of vitamin A deficiency-related illnesses and improve overall nutrition in affected regions.",0.55,0.579,0.564
72,Explain why a religion or culture may oppose the use of transgenic animals.,"Some religions restrict certain foods. While a transgenic animal may appear to be of one species, it may contain some genetic elements of species, which members of different religious groups choose not to eat. Some cultures may also have ethical reasons for opposing the use of transgenic animals.","Some potential ethical, social, or cultural concerns that might lead a religion or culture to resist the development and use of genetically modified animals include questioning the natural order, human interference with nature, and implications for the environment and food production. Additionally, concerns about tampering with genomes, creating ""superhumans,"" and potential negative impacts on biodiversity and traditional farming practices may also be raised. Furthermore, cultural values and religious beliefs, such as vegetarianism or animal welfare, could also influence resistance to GM animals.",0.53,0.594,0.56
73,Describe how genetic variation can benefit agricultural biotechnology.,"Genetic variation improves the evolutionary potential of populations, species, cultivars and breeds of organisms. This improves their long-term stability and the potential to develop new plant cultivars and animal breeds.","The incorporation of genetic variation in agricultural biotechnology has contributed significantly to the development of more resilient, nutritious, and sustainable crop varieties. Genetic modification enables the introduction of desirable traits into crops, such as pest resistance, increased yield, and improved nutritional content. This has led to the creation of crops like Golden Rice, which can help alleviate dietary deficiencies in developing countries. Additionally, genetic technologies have resulted in crops becoming easier to grow, resistant to pathogens, and higher in nutritional content, ultimately contributing to global food security challenges.",0.514,0.575,0.542
74,Explain how the increased use of a species for biotechnology could cause biodiversity loss.,"If a species is increasingly used for biotechnology, its value rises. This could lead to overexploitation and endangerment of the species.","The expansion of an ecosystem or environment to support the increasing demand for a particular species, such as genetically modified organisms (GMOs) or microorganisms, can lead to a decline in local biodiversity. This is because the introduction of GMOs can disrupt the natural balance and alter the coexistence of native species, potentially causing habitat destruction, competition for resources, and changes in population dynamics. In the long term, this can result in reduced genetic diversity and increased risk of populations being wiped out in response to selection pressure.",0.533,0.626,0.576
75,Differentiate between in situ and ex situ conservation methods.,"In situ practices maintain the organism in its natural environment, whereas ex situ methods conserve organisms outside of their natural environment (e.g. in zoos).","The main distinction between preserving species within their natural habitats (in situ) versus relocating them to controlled environments or captive breeding programs (ex situ) lies in the level of control and artificiality involved. In situ conservation maintains the natural environment and ecological processes, whereas ex situ methods involve human intervention and manipulation.

In situ conservation contributes to maintaining biodiversity by preserving species' adaptations to their specific habitats and ecosystems, allowing for evolutionary processes to continue unimpeded. This approach also helps maintain ecosystem diversity, as different species interact and influence one another within their native environments. In contrast, ex situ approaches can lead to a loss of biodiversity if not managed carefully, as populations may become too similar or isolated.

Ultimately, both in situ and ex situ conservation methods have their advantages and challenges, and the most effective approach often involves a combination of both strategies.",0.528,0.692,0.599
76,Define the term 'artificial insemination',Artificial insemination is a reproductive technology that involves the deliberate introduction of male sperm into the female reproductive tract by a method other than sexual intercourse.,"Artificial insemination is a reproductive technology that involves the intentional introduction of sperm into a female's reproductive system outside of natural sexual intercourse, often with the goal of achieving pregnancy. The process typically involves collecting sperm from a chosen male and artificially introducing it into several selected females, usually via an inseminating rod or gun inserted into the uterus.",0.676,0.856,0.755
77,What advantages does artificial insemination bring to agriculture?,"Answers may vary but could include: • multiple females can be impregnated from one sample • females in different geographic locations to the male can be impregnated • farmers don’t have to keep male animals on their property • avoids behavioural challenges associated with mating animals • reproductive health of population protected through screening of semen samples • requires no animal-to-animal contact, avoiding the spread of disease.","Artificial insemination can provide several key benefits to agricultural industries, including increased efficiency, improved livestock health, and enhanced genetic diversity. By allowing for the selection of desirable traits and the controlled breeding process, artificial insemination minimizes costs associated with transporting animals and reduces the need for multiple matings. This method also enables the synchronization of births in the livestock industry, avoiding injuries during mating, and promoting favorable genetic material to be sent around the world.",0.52,0.516,0.518
78,How does artificial insemination differ from in vitro fertilisation (IVF)?,Artificial insemination involves the delivery of semen directly into the female reproductive system. Whereas IVF removes the egg from the female and fertilises it with the sperm in a laboratory setting prior to returning the fertilised egg back into the female uterus.,"The key differences between artificial insemination and in vitro fertilization (IVF) lie in the process of sperm-egg fusion. In artificial insemination, a chosen male's semen is collected and artificially introduced into several selected females' uteri, whereas in IVF, an egg is extracted from the ovaries, fertilized with sperm outside the body, and then transferred back to the uterus for implantation.",0.639,0.712,0.673
79,What is artificial twinning? How does it differ from the birth of natural identical twins?,"Artificial twinning splits an embryo in two very early in the development process. Both halves of the embryo continue to divide leading to two separate individuals with identical genetic make-up. Artificial embryo twinning differs from natural identical twin development as it is carried out in a laboratory petri dish, with the early embryo artificially separated into individual cells and allowed to continue dividing. The embryos are then transferred into a surrogate mother.","Here's a complete and concise response to your query:

Artificial twinning, also known as embryo splitting, involves creating two embryos in vitro from a single fertilized egg, which are then transferred to a surrogate mother. This process mimics the natural occurrence of identical twins, where a single fertilized egg splits in two during early development. In contrast, natural identical twins form when a single fertilized egg splits into two separate embryos that develop independently. The key difference lies in the origin and formation of the embryos - artificial twinning involves creating multiple embryos from a single cell, whereas natural identical twins result from the natural splitting of a single fertilized egg.",0.587,0.653,0.619
80,Explain the process of somatic cell nuclear transfer.,"Somatic cell nuclear transfer involves the removal of chromosomes from an egg cell and replaces them with the nucleus of a somatic cell taken from the organism being cloned. The egg cell is then induced to divide. Once the embryo has developed, it is transferred to the uterus of a surrogate female organism. The individual that is born following gestation will be an identical genetic copy of the animal from which the original somatic cell was taken.","Here is the step-by-step procedure for taking the nucleus from an adult somatic cell, such as a skin cell, and transferring it into an egg cell that has had its own nucleus removed or inactivated:

1. Remove the nucleus from an unfertilized egg cell.
2. Extract the nucleus of a body cell (somatic cell) and inject it into the enucleated egg cell.
3. Culture the cell, then implant it into a surrogate mother.

Note: The resulting organism will be a clone of the original adult somatic cell that donated the nucleus.",0.619,0.672,0.644
81,Describe the term 'gene therapy'.,Gene therapy refers to the insertion of a gene into an individual’s cells to correct or replace defective gene function that leads to disease.,"Gene therapy is an experimental technique that uses genes to treat or prevent disease. It involves making changes to an individual's DNA sequence to correct or replace defective gene function that leads to disease. This can be done by replacing a mutated gene with a healthy copy, inactivating a malfunctioning gene, or introducing a new gene to help fight a disease. There are two types of gene therapy: somatic gene therapy, which affects cells that don't produce eggs or sperm, and germline gene therapy, which affects cells that produce eggs or sperm and can be passed onto children.",0.576,0.817,0.676
82,What types of human proteins are commonly produced by recombinant DNA technology?,"Human proteins commonly produced by recombinant DNA technology are hormones, enzymes, vaccines and cytokines.","Human proteins commonly produced by recombinant DNA technology include insulin, growth hormone, interferon, antibodies, enzymes such as lactate dehydrogenase and superoxide dismutase. These proteins play important roles in various biological processes, including energy metabolism, cell signaling, and immune response.",0.63,0.844,0.721
83,What is a plasmid? Describe the role played by plasmids in gene cloning.,"A plasmid is a circular molecule of bacterial DNA. Plasmids are useful in gene cloning. They replicate frequently within the bacterial cell. When a foreign gene such as the human insulin gene is inserted into bacterial plasmids and the bacteria are cultured, large amounts of the protein (insulin) can be produced by the bacteria.","A plasmid is a self-replicating vector that facilitates gene cloning by providing a platform for recombinant DNA molecules. The essential characteristics of a plasmid include being self-replicating, possessing restriction sites for RE enzymes, and having a marker gene for identification purposes. When a donor DNA fragment is introduced into the plasmid, it can be replicated and expressed in a host cell, allowing for the production of large amounts of target protein.",0.649,0.719,0.683
84,Describe a genetically modified organism and compare it to a transgenic organism.,"A genetically modified organism (GMO) is an organism that has an alteration to one or more genes due to gene transfer, mutagenesis or gene editing. Transgenic organisms are a subset of GMOs; they have a gene from a different source inserted into their genome (e.g. a plant with a bacterial insecticide gene, a mouse with a human antibody gene, or a goat with a spider silk protein gene).","The key difference between a genetically modified organism (GMO) and a transgenic organism lies in the method of genetic modification. A GMO can result from traditional breeding or mutagenesis techniques, whereas a transgenic organism has its DNA altered using biotechnology methods to introduce genes from another species. The term ""transgenic"" specifically refers to organisms that have had their DNA altered using recombinant DNA technology.",0.632,0.604,0.618
85,Identify two advantages of artificial insemination for human fertility treatment,Artificial insemination is a relatively inexpensive and non-invasive procedure.,"The two primary benefits of using artificial insemination as an assisted reproductive technology in human fertility treatments are:

* Allowing individuals or couples to conceive and build their families, and
* Passing on desirable characteristics to the next generation.

Artificial insemination involves the injection of male semen into the vagina or cervix of a female without sexual intercourse, making it a viable option for those seeking to become parents.",0.451,0.64,0.529
